FECHA DE LA INSPECCIÓN;DISTRITO;DIRECCIÓN;MOTIVO;EPÍGRAFE DE ACTIVIDAD;PROGRAMA
07/05/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;472403 - COM.MENOR PASTELE., CONFIT., REPOST. C/OBRADOR-BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
07/05/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
14/09/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;472403 - COM.MENOR PASTELE., CONFIT., REPOST. C/OBRADOR-BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
14/09/2021;CENTRO;CL ARENAL 1;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
13/05/2021;CENTRO;CL MESONERO ROMANOS 4;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
01/07/2021;CENTRO;CL MESONERO ROMANOS 4;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
03/08/2021;CENTRO;CL MESONERO ROMANOS 4;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
17/05/2021;CENTRO;PO PRADO 38;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
11/06/2021;CENTRO;CL HUMILLADERO 5;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
27/05/2021;CENTRO;PZ PUERTA DEL SOL 11;NO PROGRAMADA;472904 - COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
16/04/2021;CENTRO;CL CARMEN 27;PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
15/07/2021;CENTRO;CL CARMEN 27;PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
09/04/2021;CENTRO;CL BAILEN 15;NO PROGRAMADA;472904 - COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
25/06/2021;CENTRO;CL HORTALEZA 23;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
08/04/2021;CENTRO;CL ESPIRITU SANTO 6;NO PROGRAMADA;472404 - COM.MENOR PASTELE.,CONFIT.,REPOST. C/OBRADOR,S/BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
08/04/2021;CENTRO;CL ESPIRITU SANTO 6;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
10/09/2021;CENTRO;CL BOTONERAS 6;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
24/09/2021;CENTRO;CL BOTONERAS 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
24/05/2021;CENTRO;CL ATOCHA 82;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
05/07/2021;CENTRO;CL ATOCHA 82;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;CENTRO;CL FUENCARRAL 95;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
15/04/2021;CENTRO;CL FUENCARRAL 95;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
16/02/2021;CENTRO;CL HUMILLADERO 30;NO PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
08/09/2021;CENTRO;CL ROSARIO 21;NO PROGRAMADA;472911 - OTRO COM.MENOR PRODUCTOS ALIMENTICIOS C/VENDEDOR N.C.O.P.;COMERCIO MINORISTA ALIMENTACIÓN
18/01/2021;CENTRO;CL SAN MARCOS 37;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
04/08/2021;CENTRO;PZ PEDRO ZEROLO 8;NO PROGRAMADA;472911 - OTRO COM.MENOR PRODUCTOS ALIMENTICIOS C/VENDEDOR N.C.O.P.;COMERCIO MINORISTA ALIMENTACIÓN
24/08/2021;CENTRO;PZ PEDRO ZEROLO 8;NO PROGRAMADA;472911 - OTRO COM.MENOR PRODUCTOS ALIMENTICIOS C/VENDEDOR N.C.O.P.;COMERCIO MINORISTA ALIMENTACIÓN
03/02/2021;CENTRO;CL TOLEDO 57;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
09/07/2021;CENTRO;CL TOLEDO 57;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
09/02/2021;CENTRO;CL VALENCIA 14;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
09/02/2021;CENTRO;CL VALENCIA 14;NO PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
03/03/2021;CENTRO;CU SANTO DOMINGO 12;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
26/05/2021;CENTRO;CU SANTO DOMINGO 12;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
24/05/2021;CENTRO;CL SANTA ISABEL 17;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
30/06/2021;CENTRO;CL ALMENDRO 21;PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
05/02/2021;CENTRO;CL SAN BRUNO 1;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
23/04/2021;CENTRO;CL SAN BRUNO 1;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
24/09/2021;CENTRO;CL SAN BRUNO 1;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
06/05/2021;CENTRO;PZ EMPERADOR CARLOS V 9;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
08/07/2021;CENTRO;PZ EMPERADOR CARLOS V 9;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
05/05/2021;CENTRO;PZ DOS DE MAYO 7;NO PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
24/06/2021;CENTRO;CL ESPOZ Y MINA 7;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
29/07/2021;CENTRO;CL ESPOZ Y MINA 7;PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
11/02/2021;CENTRO;CL PEZ 29;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
15/04/2021;CENTRO;CL PEZ 29;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
28/05/2021;CENTRO;CL PEZ 29;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
12/02/2021;CENTRO;CL SAN BARTOLOME 23;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
14/05/2021;CENTRO;CL SAN BARTOLOME 23;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
04/06/2021;CENTRO;PZ DOS DE MAYO 8;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
02/07/2021;CENTRO;PZ DOS DE MAYO 8;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
23/07/2021;CENTRO;PZ DOS DE MAYO 8;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
03/03/2021;CENTRO;PZ SALESAS 8;NO PROGRAMADA;472405 - COMERCIO MENOR PASTELERIA, CONFITERIA, REPOSTER. SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
03/03/2021;CENTRO;PZ SALESAS 8;NO PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
01/09/2021;CENTRO;CL LIBERTAD 23;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
22/04/2021;CENTRO;CL CORREDERA ALTA DE SAN PABLO 8;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
28/05/2021;CENTRO;CL CORREDERA ALTA DE SAN PABLO 8;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
19/08/2021;CENTRO;CL SAN BERNARDO 12;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
24/09/2021;CENTRO;CL SAN BERNARDO 12;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
11/02/2021;CENTRO;PZ CARLOS CAMBRONERO 4;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
15/04/2021;CENTRO;PZ CARLOS CAMBRONERO 4;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
28/05/2021;CENTRO;PZ CARLOS CAMBRONERO 4;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
15/04/2021;CENTRO;CL FUENCARRAL 103;PROGRAMADA;561002 - RESTAURANTES DE COMIDA RAPIDA;RESTAURACIÓN COLECTIVA
09/07/2021;CENTRO;CL SAN BERNARDO 56;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
12/08/2021;CENTRO;CL SAN BERNARDO 56;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
09/09/2021;CENTRO;CL SAN BERNARDO 56;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
24/09/2021;CENTRO;CL SAN BERNARDO 56;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
06/05/2021;CENTRO;CL DOCTOR DRUMEN 6;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
08/07/2021;CENTRO;CL DOCTOR DRUMEN 6;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
05/05/2021;CENTRO;CL CAVA ALTA 32;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
28/07/2021;CENTRO;CL BAILEN 26;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
17/09/2021;ARGANZUELA;PO DELICIAS 119;PROGRAMADA;561002 - RESTAURANTES DE COMIDA RAPIDA;RESTAURACIÓN COLECTIVA
20/09/2021;ARGANZUELA;PO DELICIAS 119;NO PROGRAMADA;561002 - RESTAURANTES DE COMIDA RAPIDA;RESTAURACIÓN COLECTIVA
29/09/2021;ARGANZUELA;PO DELICIAS 119;NO PROGRAMADA;561002 - RESTAURANTES DE COMIDA RAPIDA;RESTAURACIÓN COLECTIVA
29/06/2021;ARGANZUELA;PO ACACIAS 40;NO PROGRAMADA;551001 - HOTELES Y MOTELES CON RESTAURANTE;RESTAURACIÓN COLECTIVA
09/07/2021;ARGANZUELA;PO ACACIAS 40;NO PROGRAMADA;551001 - HOTELES Y MOTELES CON RESTAURANTE;RESTAURACIÓN COLECTIVA
01/02/2021;ARGANZUELA;CL MIGUEL ARREDONDO 4;NO PROGRAMADA;472205 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
23/04/2021;ARGANZUELA;CL ANCORA 28;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
14/06/2021;ARGANZUELA;CL ANCORA 28;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
28/01/2021;ARGANZUELA;CL SANTA CASILDA 5;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
28/01/2021;ARGANZUELA;CL SANTA CASILDA 5;NO PROGRAMADA;472404 - COM.MENOR PASTELE.,CONFIT.,REPOST. C/OBRADOR,S/BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
19/07/2021;ARGANZUELA;CL MENDEZ ALVARO 38;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
24/09/2021;ARGANZUELA;CL MENDEZ ALVARO 38;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
24/09/2021;ARGANZUELA;CL MENDEZ ALVARO 38;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
15/02/2021;ARGANZUELA;PO SANTA MARIA DE LA CABEZA 85;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
02/06/2021;ARGANZUELA;PO SANTA MARIA DE LA CABEZA 85;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
02/07/2021;ARGANZUELA;PO DELICIAS 52;PROGRAMADA;472907 - COMERCIO AL POR MENOR DE FRUTOS SECOS Y VARIANTES;COMERCIO MINORISTA ALIMENTACIÓN
21/05/2021;ARGANZUELA;CL MORENO NIETO 1;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
19/05/2021;ARGANZUELA;CL MARQUES DE LA VALDAVIA 2;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
05/04/2021;ARGANZUELA;PO ESPERANZA 21;NO PROGRAMADA;561002 - RESTAURANTES DE COMIDA RAPIDA;RESTAURACIÓN COLECTIVA
20/04/2021;ARGANZUELA;PO VIRGEN DEL PUERTO 11;NO PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
20/04/2021;ARGANZUELA;PO VIRGEN DEL PUERTO 11;NO PROGRAMADA;472404 - COM.MENOR PASTELE.,CONFIT.,REPOST. C/OBRADOR,S/BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
07/05/2021;ARGANZUELA;CL TENIENTE CORONEL NOREÑA 14;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
07/05/2021;ARGANZUELA;CL TENIENTE CORONEL NOREÑA 14;NO PROGRAMADA;471901 - COM.MENOR ESTABL.NO ESPEC.S/PREDOMINIO  ALIMEN.,BEBI.,TABACO;COMERCIO MINORISTA ALIMENTACIÓN
06/08/2021;ARGANZUELA;CL TENIENTE CORONEL NOREÑA 14;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
11/08/2021;ARGANZUELA;CL TENIENTE CORONEL NOREÑA 14;NO PROGRAMADA;471901 - COM.MENOR ESTABL.NO ESPEC.S/PREDOMINIO  ALIMEN.,BEBI.,TABACO;COMERCIO MINORISTA ALIMENTACIÓN
23/08/2021;ARGANZUELA;PZ FRANCISCO MORANO 3;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
12/07/2021;ARGANZUELA;CL MENDEZ ALVARO 28;NO PROGRAMADA;551001 - HOTELES Y MOTELES CON RESTAURANTE;RESTAURACIÓN COLECTIVA
13/04/2021;ARGANZUELA;CL RETAMA 7;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
06/07/2021;ARGANZUELA;PO ACACIAS 12;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
06/04/2021;ARGANZUELA;PO DELICIAS 139;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
30/08/2021;ARGANZUELA;PO DELICIAS 139;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
30/08/2021;ARGANZUELA;CL TOLEDO 170;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
21/04/2021;ARGANZUELA;PO SANTA MARIA DE LA CABEZA 38;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
08/06/2021;ARGANZUELA;CL DELICIAS 24;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
01/02/2021;ARGANZUELA;GT PIRAMIDES 6;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
01/02/2021;ARGANZUELA;GT PIRAMIDES 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
02/02/2021;ARGANZUELA;GT PIRAMIDES 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
08/02/2021;ARGANZUELA;GT PIRAMIDES 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
08/02/2021;ARGANZUELA;GT PIRAMIDES 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
25/02/2021;ARGANZUELA;GT PIRAMIDES 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
02/03/2021;ARGANZUELA;GT PIRAMIDES 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
02/03/2021;ARGANZUELA;GT PIRAMIDES 6;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
26/02/2021;ARGANZUELA;PO PONTONES 8;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
26/08/2021;ARGANZUELA;CL CANARIAS 62;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
26/08/2021;ARGANZUELA;CL CANARIAS 62;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
23/09/2021;ARGANZUELA;PO PONTONES 20;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
09/02/2021;ARGANZUELA;PO YESERIAS 15;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
25/03/2021;ARGANZUELA;PO JUAN ANTONIO VALLEJO-NAJERA BOTAS 54;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
19/08/2021;ARGANZUELA;PO JUAN ANTONIO VALLEJO-NAJERA BOTAS 54;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
10/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472407 - ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
10/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472201 - COMERCIO AL POR MENOR DE CARNICERIA;COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472302 - COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472101 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472905 - COMERCIO AL POR MENOR DE CONGELADOS;COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/05/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472407 - ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
22/07/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472407 - ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
29/07/2021;ARGANZUELA;CL JUANA DOÑA 14;NO PROGRAMADA;472407 - ESTABLECIMIENTOS DE VENTA DE PLATOS PREPARADOS CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
22/03/2021;ARGANZUELA;CL NAVES 13;NO PROGRAMADA;562902 - SERVICIOS COMEDOR EN CENTROS EDUCATIVOS Y CEN. DE CUID.INFAN;RESTAURACIÓN COLECTIVA
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472206 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472201 - COMERCIO AL POR MENOR DE CARNICERIA;COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472302 - COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472905 - COMERCIO AL POR MENOR DE CONGELADOS;COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
04/03/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472404 - COM.MENOR PASTELE.,CONFIT.,REPOST. C/OBRADOR,S/BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
20/05/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472101 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472905 - COMERCIO AL POR MENOR DE CONGELADOS;COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472401 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472404 - COM.MENOR PASTELE.,CONFIT.,REPOST. C/OBRADOR,S/BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472201 - COMERCIO AL POR MENOR DE CARNICERIA;COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472202 - COMERCIO AL POR MENOR DE CHARCUTERIA;COMERCIO MINORISTA ALIMENTACIÓN
28/09/2021;ARGANZUELA;CL BOLIVAR 15;NO PROGRAMADA;472205 - COMERCIO AL POR MENOR DE AVES, HUEVOS Y CAZA CON OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
03/08/2021;ARGANZUELA;CL MIGUEL ARREDONDO 4;NO PROGRAMADA;472302 - COMERCIO AL POR MENOR DE PESCADOS Y MARISCOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
22/04/2021;ARGANZUELA;CL MENDEZ ALVARO 62;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
20/04/2021;ARGANZUELA;PO ESPERANZA 57;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
01/09/2021;ARGANZUELA;CL TOLEDO 140;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
