FECHA DE LA INSPECCIÓN;DISTRITO;DIRECCIÓN;MOTIVO;EPÍGRAFE DE ACTIVIDAD;PROGRAMA
03/06/2021;CENTRO;CL CORREDERA ALTA DE SAN PABLO 12;NO PROGRAMADA;472403 - COM.MENOR PASTELE., CONFIT., REPOST. C/OBRADOR-BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
23/04/2021;CENTRO;PZ SANTA BARBARA 8;NO PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
21/07/2021;CENTRO;CL COLON 13;NO PROGRAMADA;563001 - COMERCIO MENOR DE VINOS Y ALCOHOLES (BODEGA) CON CONSUMO;COMERCIO MINORISTA ALIMENTACIÓN
13/09/2021;CENTRO;CL COLON 13;NO PROGRAMADA;563001 - COMERCIO MENOR DE VINOS Y ALCOHOLES (BODEGA) CON CONSUMO;COMERCIO MINORISTA ALIMENTACIÓN
15/09/2021;CENTRO;PZ MOSTENSES 1;NO PROGRAMADA;472204 - COMERCIO AL POR MENOR DE CARNICERIA-SALCHICHERIA;COMERCIO MINORISTA ALIMENTACIÓN
06/07/2021;CENTRO;PZ MOSTENSES 1;NO PROGRAMADA;472201 - COMERCIO AL POR MENOR DE CARNICERIA;COMERCIO MINORISTA ALIMENTACIÓN
03/08/2021;CENTRO;CL CRUZ VERDE 16;PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
23/04/2021;CENTRO;CL GRAN VIA 56;NO PROGRAMADA;472904 - COMERCIO AL POR MENOR DE HELADOS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
21/04/2021;CENTRO;CL SAN ONOFRE 3;NO PROGRAMADA;472403 - COM.MENOR PASTELE., CONFIT., REPOST. C/OBRADOR-BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
21/04/2021;CENTRO;CL SAN ONOFRE 3;NO PROGRAMADA;472402 - COMERCIO MENOR PAN Y PRODUC.PANADERIA Y BOLLERIA SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
10/02/2021;CENTRO;CL VENERAS 7;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
16/04/2021;CENTRO;CL VENERAS 7;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
03/06/2021;CENTRO;CL VENERAS 7;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
02/02/2021;CENTRO;CL MONTERA 37;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
22/02/2021;CENTRO;CL MONTERA 37;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
28/04/2021;CENTRO;CL MONTERA 37;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
24/09/2021;CENTRO;CL BOTONERAS 4;PROGRAMADA;561005 - BAR CON COCINA;RESTAURACIÓN COLECTIVA
02/02/2021;CENTRO;CL TOLEDO 105;NO PROGRAMADA;561004 - BAR RESTAURANTE;RESTAURACIÓN COLECTIVA
21/09/2021;CENTRO;CL BORDADORES 3;NO PROGRAMADA;561001 - RESTAURANTE;RESTAURACIÓN COLECTIVA
16/03/2021;CENTRO;CL MAYOR 10;NO PROGRAMADA;472403 - COM.MENOR PASTELE., CONFIT., REPOST. C/OBRADOR-BARRA DEGUST.;COMERCIO MINORISTA ALIMENTACIÓN
16/03/2021;CENTRO;CL MAYOR 10;NO PROGRAMADA;561006 - CAFETERIA;RESTAURACIÓN COLECTIVA
28/05/2021;ARGANZUELA;CL JUAN DUQUE 28;PROGRAMADA;471101 - COM.MEN.ESTAB.NO ESPEC.C/PREDOMIN.ALIM.Y BEB.(AUTOSERVICIO);COMERCIO MINORISTA ALIMENTACIÓN
28/05/2021;ARGANZUELA;CL JUAN DUQUE 28;PROGRAMADA;472905 - COMERCIO AL POR MENOR DE CONGELADOS;COMERCIO MINORISTA ALIMENTACIÓN
05/05/2021;ARGANZUELA;CL JUAN DUQUE 28;PROGRAMADA;472102 - COMERCIO AL POR MENOR DE FRUTAS Y HORTALIZAS SIN OBRADOR;COMERCIO MINORISTA ALIMENTACIÓN
